File_Location,File_Name,File_Type,First_50_Bytes
C:\Users\John\Desktop\File,File091,None,20 20 20 20 20 20 20 20 20 20 20 20 44 4f 20 57 48 41 54 20 54 48 45 20 46 55 43 4b 20 59 4f 55 20 57 41 4e 54 20 54 4f 20 50 55 42 4c 49 43 20 4c 49
C:\Users\John\Desktop\File,File092,ZoneAlam_data_file,4d 5a 90 00 03 00 00 00 04 00 00 00 ff ff 00 00 b8 00 00 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
C:\Users\John\Desktop\File,File093,MS_Office_2007_documents,50 4b 03 04 14 00 06 00 08 00 00 00 21 00 9d 7c 73 2a e3 01 00 00 b5 0c 00 00 13 00 08 02 5b 43 6f 6e 74 65 6e 74 5f 54 79 70 65 73 5d 2e 78 6d 6c 20
C:\Users\John\Desktop\File,File094,MS_Office_2007_documents,50 4b 03 04 14 00 06 00 08 00 00 00 21 00 81 71 7d 3c f8 01 00 00 ba 0c 00 00 13 00 cd 01 5b 43 6f 6e 74 65 6e 74 5f 54 79 70 65 73 5d 2e 78 6d 6c 20
C:\Users\John\Desktop\File,File095,ZoneAlam_data_file,4d 5a 90 00 03 00 00 00 04 00 00 00 ff ff 00 00 b8 00 00 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
C:\Users\John\Desktop\File,File096,MS_Office_2007_documents,50 4b 03 04 14 00 06 00 08 00 00 00 21 00 d5 71 95 3e e1 01 00 00 7a 09 00 00 13 00 08 02 5b 43 6f 6e 74 65 6e 74 5f 54 79 70 65 73 5d 2e 78 6d 6c 20
C:\Users\John\Desktop\File,File097,Windows_executable,ff d9 ff e0 00 10 4a 46 49 46 00 01 01 00 00 01 00 01 00 00 ff db 00 43 00 08 06 06 07 06 05 08 07 07 07 09 09 08 0a 0c 14 0d 0c 0b 0b 0c 19 12 13 0f
C:\Users\John\Desktop\File,File098,None,89 50 4e 47 0d 0a 1a 0a 00 00 00 0d 49 48 44 52 00 00 03 88 00 00 04 ec 08 06 00 00 00 c2 72 ac 0c 00 01 00 00 49 44 41 54 78 9c ec fd 69 ac 6d db 75
C:\Users\John\Desktop\File,File099,None,0a 22 31 2e 20 49 6e 73 74 61 6c 6c 20 61 6e 64 20 63 6f 6e 66 69 67 75 72 65 20 74 68 65 20 6e 65 63 65 73 73 61 72 79 20 64 65 70 65 6e 64 65 6e 63
C:\Users\John\Desktop\File,File100,MS_Office_2007_documents,50 4b 03 04 14 00 06 00 08 00 00 00 21 00 1e 27 60 70 88 01 00 00 ae 05 00 00 13 00 08 02 5b 43 6f 6e 74 65 6e 74 5f 54 79 70 65 73 5d 2e 78 6d 6c 20
C:\Users\John\Desktop\File,File101,ZoneAlam_data_file,4d 5a 90 00 03 00 00 00 04 00 00 00 ff ff 00 00 b8 00 00 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
